sample_key, instrument
005032_211200, mallet_percussion
005042_142080, violin
005044_184320, flute
005057_138240, ukulele
005060_211200, organ
005063_11520, banjo
005089_99840, saxophone
005092_122880, banjo
005133_2542080, mallet_percussion
005160_26880, cymbals
005164_11520, cymbals
005198_180480, flute
005200_122880, organ
005201_99840, clarinet
005202_330240, organ
005270_311040, cymbals
005274_499200, cymbals
005325_84480, synthesizer
005406_0, guitar
005481_38400, voice
005535_192000, voice
005572_122880, drums
005617_23040, drums
005623_203520, violin
005871_0, violin
005873_65280, flute
005925_30720, saxophone
005936_3840, piano
005955_1486080, clarinet
005965_15360, violin
006271_195840, trombone
006342_226560, flute
006395_188160, banjo
006400_249600, organ
006401_303360, trombone
006403_53760, guitar
006459_272640, violin
006464_34560, accordion
006529_172800, guitar
006585_149760, banjo
006586_107520, banjo
006587_284160, banjo
006590_19200, banjo
006598_99840, ukulele
006667_1739520, flute
006716_0, banjo
006728_130560, voice
006766_65280, synthesizer
006803_180480, accordion
006857_130560, clarinet
006860_668160, guitar
006881_1463040, mallet_percussion
006963_1128960, saxophone
006967_23040, clarinet
007015_65280, organ
007022_69120, flute
007069_11520, guitar
007114_115200, flute
007115_111360, saxophone
007116_107520, bass
007443_295680, drums
007450_11520, accordion
007493_464640, guitar
007525_714240, banjo
007538_3609600, mallet_percussion
007559_34560, piano
007660_23040, cymbals
007662_53760, cymbals
007768_11520, bass
007779_138240, drums
007780_7680, drums
007832_249600, trumpet
007954_184320, trumpet
007968_92160, organ
008183_291840, drums
008261_207360, banjo
008281_0, guitar
008283_337920, accordion
008367_15360, organ
008376_126720, banjo
008514_168960, saxophone
008516_591360, cymbals
008546_7680, piano
008555_34560, clarinet
008583_107520, flute
008596_291840, cymbals
008656_38400, drums
008661_107520, cymbals
008925_26880, guitar
008927_49920, guitar
008940_57600, bass
008968_157440, piano
009170_188160, clarinet
009181_664320, banjo
009210_1344000, trombone
009279_65280, piano
009287_107520, trombone
009334_2937600, mallet_percussion
009343_1751040, flute
009383_57600, flute
009393_34560, drums
009430_149760, drums
009436_168960, drums
009473_218880, ukulele
009474_579840, guitar
009483_606720, bass
009486_103680, ukulele
009494_11520, banjo
009499_199680, drums
009515_7680, trombone
009525_115200, violin
009526_122880, accordion
009529_88320, violin
009552_53760, cello
009605_11520, synthesizer
009668_96000, accordion
009748_65280, saxophone
009749_3840, piano
009772_579840, bass
009787_57600, organ
009796_165120, organ
009797_933120, organ
009819_72960, cello
009822_49920, piano
009830_53760, banjo
009844_161280, cymbals
009884_138240, clarinet
009893_23040, clarinet
009900_76800, ukulele
009908_15360, banjo
009910_96000, ukulele
009912_69120, banjo
009930_3840, ukulele
009951_391680, organ
009961_107520, cymbals
009976_19200, banjo
009979_376320, guitar
009981_326400, piano
010027_207360, piano
010029_80640, piano
010037_30720, violin
010041_11520, violin
010044_30720, violin
010056_122880, cymbals
010085_23040, banjo
010096_176640, flute
010101_72960, accordion
010102_3840, violin
010147_46080, bass
010182_802560, voice
010209_53760, cymbals
010230_34560, violin
010246_7680, voice
010265_537600, bass
010339_72960, accordion
010360_72960, flute
010364_0, banjo
010368_199680, banjo
010373_11520, voice
010381_226560, banjo
010389_92160, flute
010413_0, flute
010433_3840, guitar
010444_30720, banjo
010447_318720, accordion
010506_142080, clarinet
010511_11520, violin
010519_138240, violin
010560_3840, banjo
010569_42240, violin
010570_145920, flute
010593_1728000, bass
010619_42240, ukulele
010675_357120, cello
010684_19200, voice
010738_503040, accordion
010741_480000, saxophone
010742_195840, saxophone
010790_61440, mandolin
010814_161280, drums
010831_353280, synthesizer
010902_2227200, banjo
010985_268800, drums
010995_184320, guitar
011051_218880, piano
011053_19200, organ
011090_96000, violin
011092_0, guitar
011098_19200, saxophone
011109_34560, flute
011117_69120, piano
011119_1013760, piano
011154_96000, saxophone
011156_134400, cello
011163_11520, cymbals
011169_11520, saxophone
011184_518400, saxophone
011208_491520, mallet_percussion
011210_1255680, cello
011213_437760, organ
011232_257280, violin
011290_145920, cymbals
011294_172800, voice
011320_203520, flute
011324_23040, piano
011328_26880, piano
011338_153600, bass
011344_53760, voice
011348_61440, voice
011390_107520, piano
011393_46080, bass
011395_26880, piano
011407_161280, piano
011411_61440, bass
011413_30720, saxophone
011427_261120, piano
011428_26880, piano
011430_107520, piano
011434_295680, violin
011441_57600, synthesizer
011447_3840, drums
011490_99840, piano
011503_330240, saxophone
011506_134400, banjo
011509_203520, accordion
011532_96000, trombone
011534_26880, trombone
011538_57600, bass
011541_88320, voice
011547_157440, accordion
011560_368640, cymbals
011561_257280, trumpet
011564_3840, drums
011570_88320, bass
011584_65280, ukulele
011587_111360, saxophone
011614_30720, guitar
011616_96000, guitar
011647_0, guitar
011681_218880, saxophone
011699_57600, voice
011703_1574400, trombone
011720_387840, piano
011721_65280, piano
011722_130560, piano
011733_99840, piano
011734_337920, piano
011737_49920, cello
011757_468480, piano
011762_2138880, ukulele
011936_172800, saxophone
011960_96000, accordion
012003_622080, banjo
012007_61440, guitar
012008_0, cello
012013_38400, bass
012017_49920, organ
012036_130560, mallet_percussion
012042_30720, violin
012049_172800, accordion
012054_134400, mallet_percussion
012064_145920, voice
012066_80640, ukulele
012096_142080, accordion
012100_579840, mandolin
012103_364800, ukulele
012119_157440, bass
012131_76800, organ
012166_34560, cello
012186_11520, ukulele
012210_111360, saxophone
012215_7680, bass
012216_126720, guitar
012228_42240, mallet_percussion
012232_92160, organ
012237_49920, bass
012244_130560, drums
012275_142080, bass
012288_168960, cymbals
012331_3840, cello
012374_234240, bass
012382_92160, guitar
012391_3840, bass
012428_215040, organ
012431_418560, cello
012433_460800, clarinet
012462_92160, cello
012470_387840, guitar
012474_145920, bass
012481_399360, voice
012485_176640, banjo
012489_76800, saxophone
012490_23040, voice
012553_172800, violin
012555_84480, banjo
012558_23040, organ
012559_3840, flute
012571_96000, mandolin
012584_741120, violin
012611_11520, cymbals
012636_334080, synthesizer
012737_23040, mallet_percussion
012738_249600, voice
012741_222720, voice
012742_84480, voice
012743_192000, banjo
012797_130560, banjo
012812_184320, banjo
012828_19200, violin
012832_111360, voice
012839_30720, accordion
012841_103680, banjo
012842_88320, banjo
012872_19200, voice
012873_88320, voice
012884_15360, banjo
012918_0, mandolin
012930_165120, voice
012950_19200, cello
012959_142080, accordion
012980_3840, clarinet
013000_19200, mallet_percussion
013005_203520, ukulele
013007_42240, violin
013022_42240, saxophone
013023_568320, banjo
013026_138240, bass
013040_268800, saxophone
013044_38400, saxophone
013046_0, mallet_percussion
013047_46080, saxophone
013051_99840, cymbals
013052_249600, saxophone
013074_38400, accordion
013076_134400, violin
013080_145920, clarinet
013087_96000, violin
013102_149760, cello
013103_61440, organ
013105_180480, trombone
013108_19200, mandolin
013177_134400, trombone
013192_76800, organ
013201_7680, violin
013213_453120, flute
013214_407040, bass
013222_222720, cello
013224_0, flute
013227_42240, cello
013267_69120, piano
013326_257280, cymbals
013345_23040, ukulele
013377_26880, organ
013382_380160, drums
013383_453120, mallet_percussion
013393_11520, bass
013412_145920, guitar
013413_107520, ukulele
013421_80640, drums
013436_26880, drums
013456_11520, guitar
013463_195840, accordion
013482_7680, ukulele
013484_3840, trumpet
013498_26880, mallet_percussion
013536_7680, synthesizer
013560_15360, violin
013564_138240, banjo
013573_610560, drums
013596_107520, cymbals
013602_30720, bass
013681_42240, flute
013682_257280, violin
013690_84480, banjo
013692_26880, voice
013715_453120, saxophone
013757_226560, guitar
013760_303360, saxophone
013765_34560, ukulele
013771_119040, cymbals
013775_115200, voice
013784_61440, piano
013811_207360, ukulele
013850_165120, mallet_percussion
013859_172800, flute
013861_345600, saxophone
013868_230400, cymbals
013903_372480, cymbals
013947_23040, synthesizer
013980_46080, accordion
013997_437760, mallet_percussion
014005_53760, violin
014007_172800, ukulele
014011_23040, ukulele
014013_69120, banjo
014019_34560, drums
014020_38400, voice
014030_99840, voice
014037_26880, saxophone
014055_122880, flute
014071_99840, drums
014090_84480, cymbals
014118_119040, clarinet
014131_130560, banjo
014139_7680, cello
014144_295680, bass
014164_38400, accordion
014168_184320, cello
014193_1059840, cello
014196_165120, voice
014201_11520, drums
014227_99840, trombone
014277_272640, drums
014283_322560, banjo
014293_176640, bass
014306_288000, synthesizer
014323_157440, flute
014330_353280, voice
014332_257280, banjo
014333_226560, cymbals
014341_7680, mallet_percussion
014424_149760, cymbals
014465_107520, saxophone
014519_80640, synthesizer
014531_107520, guitar
014556_34560, voice
014557_15360, cymbals
014567_403200, piano
014585_215040, cymbals
014661_184320, guitar
014668_42240, synthesizer
014702_165120, piano
014711_103680, organ
014724_0, clarinet
014728_61440, organ
014729_11520, ukulele
014773_11520, clarinet
014782_199680, banjo
014794_134400, drums
014813_226560, cello
014814_19200, accordion
014898_69120, guitar
014901_0, flute
014935_272640, violin
014955_80640, banjo
014956_57600, banjo
014958_222720, drums
015003_69120, drums
015058_161280, cello
015065_76800, cello
015068_72960, accordion
015073_53760, bass
015079_207360, saxophone
015082_69120, saxophone
015096_149760, bass
015099_384000, drums
015100_0, bass
015102_276480, mandolin
015103_268800, guitar
015178_69120, cymbals
015205_0, banjo
015215_318720, drums
015256_57600, cymbals
015257_11520, cymbals
015263_92160, cymbals
015306_88320, cymbals
015344_7680, bass
015363_134400, ukulele
015364_61440, bass
015380_207360, banjo
015384_0, mallet_percussion
015426_403200, violin
015445_115200, banjo
015477_26880, ukulele
015481_80640, voice
015487_303360, organ
015528_168960, cymbals
015569_433920, flute
015571_65280, mallet_percussion
015574_157440, synthesizer
015583_913920, ukulele
015604_23040, voice
015616_96000, saxophone
015621_46080, guitar
015648_145920, bass
015674_115200, clarinet
015715_115200, drums
015730_203520, banjo
015739_138240, trumpet
015743_76800, mallet_percussion
015752_26880, cymbals
015764_230400, cymbals
015765_1685760, piano
015774_476160, trombone
015775_99840, saxophone
015800_153600, cymbals
015854_3840, voice
015856_19200, accordion
015873_192000, violin
015885_57600, flute
015894_88320, organ
015945_172800, guitar
015954_188160, voice
015980_211200, piano
016034_23040, synthesizer
016050_215040, synthesizer
016104_165120, drums
016114_61440, ukulele
016118_96000, bass
016178_115200, bass
016187_7680, cymbals
016192_88320, cymbals
016194_49920, flute
016213_241920, cymbals
016222_107520, voice
016266_96000, guitar
016268_7680, flute
016274_418560, trombone
016283_11520, trombone
016284_53760, cymbals
016290_19200, saxophone
016299_537600, cello
016304_11520, banjo
016332_222720, accordion
016356_26880, piano
016436_130560, saxophone
016440_729600, cello
016453_280320, violin
016463_30720, violin
016506_72960, organ
016514_215040, synthesizer
016525_99840, synthesizer
016573_291840, bass
016594_0, ukulele
016596_176640, mallet_percussion
016653_61440, saxophone
016696_0, violin
016712_69120, trombone
016802_122880, accordion
016834_96000, organ
016840_203520, flute
016875_119040, violin
016906_253440, drums
016919_3840, ukulele
016932_57600, organ
016943_99840, bass
016983_30720, banjo
016989_92160, piano
016992_192000, piano
016994_253440, bass
016997_84480, piano
017005_11520, ukulele
017037_84480, trombone
017048_372480, cello
017049_468480, voice
017058_3840, trombone
017059_46080, saxophone
017065_437760, guitar
017103_157440, organ
017115_126720, piano
017177_49920, violin
017180_0, bass
017183_42240, violin
017209_92160, bass
017212_3840, flute
017230_69120, clarinet
017260_1678080, drums
017352_34560, flute
017364_42240, ukulele
017368_138240, mallet_percussion
017369_26880, saxophone
017449_19200, guitar
017457_215040, drums
017466_806400, banjo
017509_334080, piano
017517_53760, flute
017521_407040, flute
017569_307200, cello
017576_72960, saxophone
017585_149760, flute
017629_126720, drums
017642_491520, mallet_percussion
017643_65280, synthesizer
017654_372480, ukulele
017666_19200, piano
017674_794880, mandolin
017675_7680, piano
017676_499200, piano
017731_42240, trumpet
017738_963840, violin
017780_15360, piano
017792_1324800, piano
017817_360960, accordion
017862_19200, saxophone
017893_3840, trombone
017942_249600, flute
018032_322560, banjo
018037_326400, mandolin
018057_53760, drums
018060_19200, drums
018061_887040, accordion
018063_211200, clarinet
018111_188160, flute
018119_0, organ
018152_92160, guitar
018154_176640, mallet_percussion
018236_65280, saxophone
018237_42240, saxophone
018238_222720, saxophone
018240_103680, saxophone
018258_537600, accordion
018289_149760, cymbals
018307_30720, mallet_percussion
018311_3840, bass
018312_80640, mallet_percussion
018330_46080, cello
018386_195840, violin
018419_741120, flute
018428_299520, flute
018431_138240, voice
018438_241920, violin
018452_11520, clarinet
018466_142080, drums
018570_69120, saxophone
018571_337920, drums
018572_84480, flute
018575_341760, organ
018580_42240, bass
018585_76800, drums
018599_92160, piano
018626_326400, synthesizer
018627_330240, synthesizer
018630_218880, synthesizer
018633_165120, synthesizer
018686_11520, drums
018693_107520, violin
018698_1248000, flute
018705_46080, cymbals
018707_376320, cymbals
018730_741120, cello
018787_26880, flute
018788_34560, voice
018819_11520, saxophone
018824_1136640, cymbals
018918_76800, saxophone
018920_96000, bass
018944_72960, piano
018970_61440, saxophone
018973_299520, banjo
019061_249600, voice
019125_161280, cymbals
019133_49920, cymbals
019204_115200, organ
019225_318720, cello
019240_115200, piano
019330_65280, piano
019339_138240, saxophone
019368_122880, ukulele
019373_72960, ukulele
019377_19200, guitar
019386_153600, saxophone
019417_142080, ukulele
019476_15360, piano
019478_92160, saxophone
019484_115200, trumpet
019489_288000, clarinet
019492_69120, trombone
019493_72960, bass
019494_153600, drums
019529_199680, organ
019532_153600, organ
019534_57600, synthesizer
019554_199680, accordion
019580_138240, banjo
019594_168960, drums
019598_253440, accordion
019599_23040, accordion
019681_280320, banjo
019737_92160, guitar
019758_0, guitar
019778_69120, flute
019797_449280, organ
019866_65280, cymbals
019873_99840, mallet_percussion
019877_410880, cymbals
019878_1720320, synthesizer
019892_1831680, mallet_percussion
019896_134400, organ
019905_84480, cymbals
019924_249600, cymbals
019964_88320, saxophone
019979_207360, guitar
019986_61440, saxophone
019987_69120, saxophone
019990_660480, ukulele
019993_184320, voice
019994_122880, violin
019998_226560, synthesizer
020046_222720, organ
020094_80640, trumpet
020110_963840, clarinet
020112_115200, ukulele
020115_153600, ukulele
020118_88320, banjo
020226_122880, cymbals
020231_65280, piano
020254_46080, banjo
020261_145920, accordion
020286_26880, flute
020287_49920, banjo
020307_1013760, cymbals
020316_1562880, saxophone
020317_241920, violin
020318_180480, accordion
020322_99840, ukulele
020358_122880, synthesizer
020419_284160, ukulele
020435_122880, drums
020436_168960, synthesizer
020449_76800, saxophone
020451_103680, saxophone
020462_57600, saxophone
020557_1324800, flute
020559_1793280, banjo
020577_430080, cymbals
020578_541440, drums
020626_184320, bass
020631_1148160, flute
020660_1393920, accordion
020681_3840, piano
020692_3840, cymbals
020764_19200, flute
020815_387840, banjo
020818_161280, synthesizer
020829_23040, organ
020856_61440, synthesizer
020859_42240, bass
020898_11520, banjo
020921_149760, voice
020926_34560, cymbals
020929_241920, violin
020976_34560, cymbals
020983_46080, cymbals
021052_46080, mallet_percussion
021061_122880, piano
021064_103680, piano
021087_115200, mallet_percussion
021095_134400, synthesizer
021096_241920, synthesizer
021111_245760, mandolin
021115_38400, guitar
021128_84480, guitar
021216_652800, synthesizer
021257_72960, saxophone
021269_142080, banjo
021273_349440, mallet_percussion
021288_188160, flute
021291_11520, violin
021308_1044480, saxophone
021323_53760, synthesizer
021325_49920, mallet_percussion
021328_80640, synthesizer
021332_76800, ukulele
021334_11520, banjo
021418_65280, synthesizer
021430_76800, trumpet
021480_57600, voice
021484_207360, voice
021528_61440, cello
021533_96000, cello
021544_84480, voice
021571_88320, voice
021608_15360, bass
021616_103680, banjo
021622_3840, guitar
021623_80640, accordion
021675_11520, cello
021719_111360, accordion
021748_134400, accordion
021749_34560, banjo
021775_57600, mallet_percussion
021776_30720, piano
021779_491520, accordion
021786_264960, clarinet
021827_19200, cello
021835_92160, organ
021837_69120, trombone
021842_138240, mallet_percussion
021851_42240, piano
021854_168960, flute
021857_88320, accordion
021868_975360, organ
021873_130560, organ
021876_96000, banjo
021891_26880, violin
021907_46080, ukulele
021909_126720, voice
021915_222720, violin
021992_794880, drums
022066_30720, voice
022096_49920, cymbals
022135_99840, organ
022168_0, cymbals
022176_192000, saxophone
022200_1397760, trumpet
022204_38400, ukulele
022205_69120, ukulele
022209_30720, ukulele
022215_23040, banjo
022221_96000, ukulele
022256_1125120, ukulele
022288_718080, synthesizer
022293_779520, cello
022304_30720, guitar
022306_61440, guitar
022327_96000, saxophone
022350_76800, voice
022359_61440, guitar
022360_76800, guitar
022361_96000, saxophone
022416_107520, ukulele
022421_203520, guitar
022484_23040, bass
022543_92160, cymbals
022571_215040, bass
022572_334080, banjo
022761_61440, organ
022780_499200, ukulele
022827_49920, drums
022926_26880, mandolin
022938_7680, piano
022957_11520, violin
022966_53760, piano
022971_107520, saxophone
022980_3840, flute
022982_529920, banjo
022983_226560, mallet_percussion
022989_199680, mallet_percussion
022992_4170240, mallet_percussion
022994_395520, flute
023005_7680, voice
023029_2499840, banjo
023032_38400, cello
023093_38400, banjo
023096_53760, accordion
023113_176640, accordion
023120_138240, mallet_percussion
023123_165120, voice
023125_176640, voice
023136_30720, cello
023140_96000, violin
023161_142080, cello
023162_30720, cello
023163_230400, accordion
023193_49920, mallet_percussion
023198_57600, flute
023202_0, piano
023211_84480, flute
023212_76800, mallet_percussion
023214_145920, piano
023216_276480, piano
023241_46080, piano
023245_0, clarinet
023247_334080, cymbals
023249_26880, organ
023258_65280, bass
023312_299520, cymbals
023348_264960, cymbals
023353_145920, cello
023381_272640, cymbals
023382_153600, mallet_percussion
023438_0, bass
023450_368640, synthesizer
023473_602880, cello
023475_395520, drums
023480_218880, synthesizer
023514_23040, banjo
023556_34560, cymbals
023560_92160, accordion
023632_80640, organ
023637_84480, synthesizer
023654_145920, cymbals
023657_65280, voice
023764_126720, synthesizer
023804_49920, synthesizer
023868_718080, flute
023884_0, synthesizer
023902_84480, guitar
023905_72960, guitar
023909_145920, ukulele
023919_168960, ukulele
023926_3840, trombone
023979_7680, bass
024062_261120, bass
024071_103680, organ
024094_579840, ukulele
024105_96000, banjo
024106_168960, guitar
024171_65280, accordion
024175_15360, drums
024199_215040, organ
024217_96000, cello
024218_168960, cello
024222_249600, bass
024223_326400, flute
024239_149760, guitar
024240_107520, accordion
024261_149760, cello
024262_138240, piano
024263_76800, flute
024268_30720, ukulele
024269_218880, saxophone
024277_1209600, cello
024328_92160, drums
024338_88320, ukulele
024353_42240, saxophone
024354_303360, saxophone
024360_245760, mallet_percussion
024363_46080, banjo
024370_215040, drums
024407_188160, piano
024411_268800, guitar
024436_15360, voice
024441_153600, bass
024448_814080, cello
024474_241920, ukulele
024515_23040, piano
024518_145920, flute
024616_103680, bass
024638_1109760, banjo
024690_69120, violin
024691_19200, violin
024739_99840, mandolin
024741_122880, drums
024763_53760, mallet_percussion
024786_188160, cymbals
024804_103680, cymbals
024831_61440, piano
024834_364800, piano
024836_376320, piano
024842_72960, violin
024856_34560, flute
024868_199680, flute
024875_165120, trombone
024937_49920, ukulele
024945_80640, organ
024949_272640, accordion
024953_38400, banjo
024968_11520, banjo
024974_180480, organ
024978_295680, violin
024994_503040, trumpet
024998_357120, ukulele
025008_0, synthesizer
025012_168960, piano
025062_161280, violin
025098_76800, voice
025104_34560, bass
025209_295680, cello
025212_38400, cello
025284_111360, drums
025288_15360, saxophone
025292_295680, flute
025295_518400, violin
025325_291840, cymbals
025340_180480, accordion
025341_176640, saxophone
025343_203520, saxophone
025349_80640, saxophone
025350_326400, cymbals
025351_138240, cymbals
025352_234240, cymbals
025358_88320, mallet_percussion
025374_7680, violin
025388_80640, accordion
025401_69120, saxophone
025601_99840, bass
025644_3840, flute
025659_119040, ukulele
025667_1105920, mallet_percussion
025698_1497600, flute
025699_1574400, ukulele
025703_376320, synthesizer
025711_130560, guitar
025731_11520, mallet_percussion
025752_11520, banjo
025790_30720, saxophone
025792_72960, saxophone
025793_264960, banjo
025794_57600, saxophone
025800_430080, drums
025802_199680, mallet_percussion
025805_23040, bass
025814_326400, voice
025823_257280, bass
025838_433920, violin
025845_506880, cello
025847_26880, drums
025862_334080, organ
025886_0, bass
025928_299520, piano
026004_552960, guitar
026026_165120, cymbals
026031_218880, accordion
026038_107520, bass
026039_0, bass
026041_161280, bass
026070_814080, mallet_percussion
026071_69120, flute
026172_7680, flute
026220_0, mallet_percussion
026224_299520, cello
026241_23040, violin
026282_107520, bass
026291_149760, bass
026300_288000, synthesizer
026309_84480, bass
026311_23040, cello
026328_422400, saxophone
026336_115200, voice
026340_145920, cello
026343_272640, synthesizer
026345_1105920, synthesizer
026359_1466880, cymbals
026364_1931520, flute
026419_53760, bass
026422_34560, mallet_percussion
026425_706560, organ
026469_11520, violin
026489_88320, banjo
026491_96000, banjo
026499_1605120, accordion
026503_88320, cello
026515_2845440, banjo
026540_1824000, clarinet
026543_280320, drums
026548_165120, mallet_percussion
026550_53760, synthesizer
026554_65280, synthesizer
026603_46080, mallet_percussion
026627_168960, synthesizer
026648_253440, organ
026664_126720, cello
026665_207360, voice
026682_103680, saxophone
026684_30720, piano
026692_11520, mallet_percussion
026693_188160, drums
026697_249600, flute
026705_46080, mallet_percussion
026706_30720, cello
026708_88320, voice
026734_115200, mandolin
026738_0, piano
026762_0, accordion
026878_215040, trumpet
026927_19200, drums
026951_184320, mallet_percussion
027020_215040, violin
027166_96000, violin
027167_1213440, mallet_percussion
027181_0, drums
027190_88320, accordion
027192_99840, accordion
027195_195840, banjo
027206_11520, piano
027211_76800, cello
027215_84480, accordion
027267_149760, flute
027277_15360, mallet_percussion
027328_84480, mallet_percussion
027369_387840, saxophone
027373_817920, saxophone
027408_0, synthesizer
027455_249600, cello
027457_161280, flute
027469_168960, voice
027504_46080, synthesizer
027547_107520, ukulele
027550_264960, piano
027553_641280, mandolin
027566_80640, synthesizer
027567_142080, synthesizer
027607_0, cymbals
027636_234240, saxophone
027656_253440, synthesizer
027675_7680, violin
027699_65280, violin
027724_145920, voice
027732_7680, violin
027780_65280, accordion
027781_107520, accordion
027782_34560, ukulele
027784_69120, banjo
027792_2638080, voice
027795_3840, voice
027814_1102080, bass
027819_46080, mallet_percussion
027820_130560, violin
027822_184320, mandolin
027857_0, guitar
027901_3840, ukulele
027908_11520, ukulele
027925_1870080, accordion
027932_299520, bass
027944_825600, trombone
027950_80640, piano
027978_318720, piano
027980_130560, mallet_percussion
027983_633600, mallet_percussion
027987_46080, mallet_percussion
028010_92160, accordion
028016_334080, accordion
028020_165120, saxophone
028023_172800, mandolin
028034_103680, drums
028046_130560, saxophone
028085_42240, saxophone
028086_99840, saxophone
028087_88320, saxophone
028089_103680, saxophone
028097_65280, piano
028102_49920, piano
028108_0, piano
028112_15360, piano
028118_49920, piano
028124_480000, mallet_percussion
028176_42240, drums
028192_165120, cello
028264_65280, guitar
028265_149760, cymbals
028276_3840, accordion
028278_168960, drums
028331_322560, clarinet
028377_42240, accordion
028388_284160, mallet_percussion
028396_15360, ukulele
028397_103680, banjo
028442_103680, bass
028448_30720, voice
028453_84480, bass
028457_176640, cymbals
028466_99840, mallet_percussion
028479_384000, violin
028493_215040, drums
